Event Link:,bit.ly/July2025DDC
Event Duration:,"1st July 2025, 00:00 – 31st July 2025, 23:59 PM (GMT+8)"
Round Update: ,"July 1, 2025 00:00 (GMT +8) - July 25, 12:00 PM (GMT +8)"
IGN ,RoundCount
5,104
11,8
20,21
29,50
66,58
97,5
98,33
242,177
387,240
627,76
828,1
901,11
909,7
916,6
930,1
940,75
950,32
960,28
8080,315
____,220
______,11
_________,4357
_a,399
_Anna_,99
_Astrum_,21
_Reisi_,555
_SeongMin_,1284
_Seri_,435
_Storm,2944
_Suoh_,1149
_Yennah_,27
~~Chester,156
~1314,259
~Abby~,515
~Abbyy,422
~Aeris,445
~Aiki~,32
~Aiza,109
~Akhira,935
~Artemis,13
~Ashia,68
~Ayden,605
~Aye,491
~b,482
~BeMyMooni,2
~BeMySunni,2
~Blue,690
~Boss,1140
~BraveHeart,2064
~buns~,2
~Butter,700
~Cavs~,478
~CHI,1932
~Cloudx,2
~ColdHands,488
~CruelHeart,536
~Danny,603
~Denver,1
~Diane,698
~EmoKing,2373
~EmoQueen,4837
~Eros,14616
~Free,971
~Hades,1148
~HERA~,19
~hime,842
~Hui,127
~Ichigo,86
~Jano~,199
~Janskie,4
~Jao,47
~JayLuna,121
~Jera,15
~Jerbaks,3290
~Jerby,526
~Jingg,28
~Jinu,257
~JLF,61
~Johnny,700
~Jun~,76
~KaGoMe,389
~Kairu,17
~Kaneki,253
~Kapeee,137
~KAWAL~,1553
~Khea,1184
~KING~,47
~Kiro,168
~KittySG,1393
~Kone,761
~Kopeee,29
~KY,1195
~Kyomii,277
~LadyBoss,685
~Law~,38
~LELENG~,122
~Lumot~,1
~Lunaaa~,7
~Lyn~,15
~MAE~,545
~Mako,1035
~Mann,754
~Mann~,236
~Mardy,551
~Meg,699
~Meowstic,11665
~Messy,453
~Mishibels,571
~Mitena,23
~MoonFlow~,1613
~MrBaluga~,2
~MrsBaluga~,2
~mUdoKi~,244
~Nephilim~,1245
~NezukoChan,2
~Nicole,615
~nobi,38
~oji,184
~Panda~,40
~Paosio,955
~PAWN~,103
~Peanut,944
~Pendulum,618
~Persephone,1690
~Popoy,286
~Prada~,44
~QUEEN~,894
~Rae,147
~Rai,191
~Rai~,1599
~Rainx,38
~RedVelvet,6
~REYNA~,293
~Ri~,1076
~Rize,38
~Ross,20
~Ry,2
~Ryuu,454
~Sasuke,629
~Sean~,585
~Seniorita~,32
~Sheesh,884
~SolarHands,123
~Stxxx,1
~Sugar,634
~SUPREMA~,4648
~SUPREMO~,4538
~SweetHeart,2067
~TaroQ,465
~Taylor~,89
~Ter,21
~ThrowJohnny,984
~Tokyo,46
~Twilight~,22
~V~SUPREMO~,621
~Vinn,45
~Wake,10
~Xavier,123
~XENA,1
~Xena,6
~Xenith,1196
~Xephyr,960
~Xie,105
~Yo,157
~YourKing,4
~Yu,41
~Yui~,35
~ZEUS~,74
~ZOA,30
~Zy,14
~Zyn,47
~ZyPH,1255
~Zyr,10
02ng,426
02Riii,1
04uF,153
08Angelmyn,49
0b,301
0hmytian,11
0la,67
0nly,14
0oLuckyo0,272
0TL,42
0Zone,27
10hp,459
11uF,1500
13thGhost,54
17uF,396
1a,981
1dgaf,134
1diot,48
1dle,382
1hitdelete,62
1UP,184
1xbet,557
20uF,145
25uF,96
2B,21
2O,72
3ck,3502
3in1,115
3k4,15
3PieceBread,5156
3un,56
40uF,222
4LVIN,7
50uF,149
5:00 AM,321
69uF,413
6el,303
6ix9,19
7ckngMad,5
7ucky,14
7up,442
8D,32
9gui,19
9ne,26
9ty9,14
AAAAAAAAAAA,32
AAAassnEEE,8
aaah,22
aab,104
Aacess,16
Aae,312
Aavi,8
ABCD,184
Abcee,78
Abeee,13
Abeleda,473
Abeyance,45
ABigFoodie,6
Abl,1216
ABM,185
Abrielle,17
absnt,55
abusayaf,415
AC,28
ac,5
Acai,30
Ace~,116
AcE~,310
AcelChelvea,139
Aceu,24
acheron,55
Aches,19
Achiee,431
achIlles,13
Acine,6
acine,11
acme,2
acsy,678
active,13
Acushla,569
acx,37
AD,693
Adam,19
adan,132
adaxial,3509
addison,57
adelene,46
aden,125
ADG,30
Adidiey,2
Adieeee,149
adios,5
adn,6
Ado,231
adrena,119
adrey,10
Adriana,125
AdrieI,179
Adriela,20
Adriell,154
Adrii,42
Adriian,486
ADULTHOOD,45
aDy,4
Ady,26
Adyssious,14
Ae,1
aecaz,22
aecoz,4
Aed,45
Aeddrienne,2
Aeenz,5
Aegiyah,22
aeia,83
aeinne,13
Aeirra,70
aeiu,76
Aejin,1
aeki,9
Aelia,1
aelius,429
aellie,705
aelo,1225
Aeoleus,36
Aeolo,23
Aera9197,2
Aergia,33
Aeriel,24
Aerielle,254
Aeron,18
Aeryz,18
Aesyulli,13
Aethyx,101
Aeve,120
Aeven,5
Aezire,10
aFa,48
AFCKryp,21
Affinity,88
affogato,2
Affogatoo,71
AFHyuno,127
aFu,175
AgalulouPH,47
Agape,164
Agares,4
Agik,6
agnieszka,573
agniv,356
AgnusDei,672
Agramon,16926
ah,31
ahBoi,22
AhBoi,261
ahbui,123
Ahj,38
Ahkie,466
Ahmanda,21
ahMoi,22
AhMoi,261
Ahonk,1
ahrissu,798
Ahsoh,3
Ahyenn,97
Ahyonn,434
Ai,281
aiah,173
AIcovendas,61
aie,7
Aieree,108
AIex,3001
aIexis,192
Aigo,35
aigoo,29
Aiher,57
aii,1213
Aiia,143
Aiisu,1300
aij,68
AIka,756
Aikaux,1126
aimai,103
ainhoa,337
AiNi,114
aino,27
Ainsleigh,529
Airene~,178
airi,90
AISHI,553
Aishwarya,2511
AisIinnO,203
AislinnA,543
AislinnO,45
aisu,26
Aiszhy,1319
aithana,1
Aiv,300
Aiza,254
AiZaiCutie,424
Aizenn,18
aizu,12
aj,13
AJDT,18
Aji3,1
AK,25
Ak,39
Ak~,34
Akap,19
Akarihopee,1154
Akee,982
Akemiii,1074
Akhie~,42
Akhiro~,502
AKi,27
akia,506
AKICHING,729
AKICHONG,216
Akiesura,10
Akii,2
Akiiii,2
Akinka,4303
AkiRa29,23
Akirachu,6
akiSen07,41
Akiyoshii,8
AkoBudoy,1
aktibista,44
Akui,3
AL,1
Alaina,7
alaine,53
Alamin,11559
Alas,12
Alasdair,41
alastair,9015
albanese,107
Albrecht,52
Alcapone,76
Alchermy,39
Alcovendas,41
Alcyx,16
Aldin,12259
aldrich,4360
Aldrich,4243
aldrinn,327
aleck,718
Alecxe,7
Aleeyoh,10
Aleiyah,87
Alek,607
alekx,295
alena,308
Alesana,3030
Alessandra,142
alessiya,84
Alesta,135
Alethyia~,354
Alevander,568
Alexai,41
alexandra04,228
alexandrine,2
Alexe,36
Alexeire,1
Alexiandre,9
ALEXTOK,7
ALEXX,105
alexx,84
Aleyah,43
Alfri,1
algea,992
algos,972
ALi,117
Ali~,6
Aliisha,133
AlinaL,41
alindog,35
alise,50
Alissa,549
alissa,3397
Alisson,617
Aliyana,11259
Aljean,119
aljobert,7830
allergy,2
Alli,7
Allira,16
Allura,161
Allx,182
ALLY,268
Almaz,1
Almirya,324
AlMuMa,116
aloe,163
aloha,1731
alohi,3
along,14
Aloysius,60
Altale,1139
altf4,4
Alvaro,9
Alxa,12
alya,394
Alycx,529
Alyna,12
Alysle,406
Alyss,29
alyss,29
Alyvia,334
Alyx10,960
Alyzia,1
alz,325
Alzeko,14595
Amae,407
Amaia,771
amaia,664
AmalikYoaz,157
amanda,203
Amane~,57
Amanojaku,80
amante,65
Amaoto,37
amara,6
amaranthine,3
Amarie,13
amariii,13
Amashi,21
amayihsi,14
Amben,233
Amberrr,41
Ambivert,48
Ambrosia,813
Ambrosya,224
Amelie,59
amethyst,57
amier,27
Amieria,228
amihan,210
Amiraaa,742
Amity,551
amor,17
Amork,46
amour,3
Ample,21
AMZ,4
Ananym,64
anarchy,160
and1e,26
Andddi,19
ande,1151
andi09,88
Andii,52
Andrae,1844
Andre,2
Andrei1998,9
Andrej,399
Andres,28
Andyx3,23
andz,937
Aneka,200
anemo,815
AngasPH,10
ange,21
Angee,41
Angelababy,33
AngelDeath,637
Angeldoll,19
AngelisMoon,85
angelshaina,52
AngelSky,2
Angelus,196
Angelyuki,508
Angeruchi,108
ANGIE,154
Angieee,125
angkol,4
angkong,20
AngKongKia,530
Anglo,669
angst,4
angstea,7
angy,25
Aniella,10987
Aniello,11155
Animacie20,11
Animo,9
Anjelin,109
anjtheia,170
Ankoru,8
Anlo,56
ANLtestPH,2
ANLUO~,3
Ann~,592
annabel,511
Anne,7
ANNE,342
anneeee,1
Anni,505
Annnnn,5
Anonym,40
Anq,15
anrou,56
ansel,22
Anshe,10599
AnSio,212
Antheiaaaa,150
Anthia,281
Anthiee,2
Anthio,206
antisocial,195
Antukin,15
anya,51
Anyah,472
anybody,2
Aode,10
Aoei,4
aoin,724
Aomi,443
Aonar,49
Aonei,22
Aonie,14
Aotin,86
Aou,515
Aowit,46
Aozen,470
Ap,50
Apoll,534
Apotheka,33
appa,674
Apperture,30
April,56
AQ,2130
Aquilae~,36
AR,88
AR1,75
Arabellax,314
Araceli,761
Arawn,12
Arayko,283
ArayKo,408
Archlys,1
arcky,282
Ardy,95
Aredhel,32
Arenio,3
Argell,8
argh,6715
Arhzheng,3
ari,44
ariaa,12
Ariaaaa,308
Arian,697
Arianna4444,5
Arich,452
ArieIo,4
Ariela,21
Arisa,35
AriseHearT,372
Arissa~,65
ARK,118
ark,1
Arkii,608
Arlekino,24
Arleng,234
Arlon,5
armando,2
Arnav,11
arnibal,670
Aroma,4
Arr,672
arrietty,1
arrogant,431
Arss,418
arta,126
Artemio,24
Artemis~,428
Artery,19
Arthamiel,44
Arthamielle,12
Arthlio,3
Arthur,82
ArthurLeywin,518
Aruhagen,207
Aruseika,7
arv,12
arvs,26
ary,224
Aryan,1
Aryana,298
arym,79
aryn,550
Aryth,68
Arzt,101
as,242
AS,62
Asaki,55
Asakura,111
Asakusa,1
Asche,158
Aschen,36
asdawdwa,2
asdfq,536
Ash~Lo,5
Ashana,10
Ashcroft,3692
Ashe,19
ashelle,146
ashen,23
Asheu,775
ashi,265
ASHITO,6
Ashiya,53
ashl,35
Ashlengg,4
Ashong,199
ashtoni,1000
ashwin,24
Asin,35
asocial,1
aspen,51
Asphedelus,18
Asphedeluz,24
ASRIEL,100
ass,249
Assel,175
Assia,698
Ast,468
Astaroth~,3
Astereio,1
Asteroid,5
asteropi,23
Astor,292
ASTORIA,6
Astraea~,68
Astraeus,137
Astralight,10
Astrea,145
AstrelLe,1080
Astrud,9
Aswang,90
Asya,36
Asynchronus,280
AT,2697
Atakesha,1
Athena~,923
AthenaBibi,395
AtheraPH,14
AtheroPH,143
Athha,174
AthosBibi,5
Athrun,87
Atii,36
Atila,7156
Atiners,60
Atlantis,12
atsuko,223
Atsuko,4070
Atsumi,20
Attereyn,204
ATTHENA,10
attitude,133
attxn,50
AttyM,3
atx,617
AubsStar,6
aubzsie,1380
Auchira,159
Audiex,15
Audrey,6
Audwii,11
Aui,38
AuiNiAii,3
Aun~,1
Aureo,75
aussie,162
austin,197
Austincce,7
Austine,411
austino,273
Austrie,48
AutoClick,5279
Autopass,90
AutoSkip,11938
Auvia,37
Auweyn,7
Auxella,26
Auxerre,65
AV,69
Avalona,17
Avary,9
Avarys,38
ave,9
Averii,10
Averyla,26
AVIEL,9
Aviery,4
Avory,67
Avrelux,7
aweless,16
awesome,238
awi,422
Awin,30
awm,246
awn,16
Awo,9
Axbna,8
Axcele,7
AxeI,101
Axeie,1
Axel,74
Axl,130
axon,2
Axxi,34
Axxy,3
axy,14
AyaChidori,155
ayaka,32
Ayaki,5535
ayame,207
Ayanamie,197
Ayaumi,322
ayaze,35
Ayef,9387
ayen,16
ayenneya,214
Ayentot,1019
Ayka,22
ayla,5
Aylze,8160
Ayobi,182
Ayra~,352
Ayrah,12586
Ayreth,5
ayruh,218
Aysel,71
ayume,5
ayyiinn,3
Ayzel,8370
Ayzer,21
Ayzkwim,970
AzaIea,1
Azaira,16
Azaire,1
Azarea,221
Azari,20
Azariah,348
azariella,271
Azarielle,57
azc,584
azd,716
aze,313
Azelea,1193
Azere,1469
Azey,213
Azhura,673
AZIA,477
azii,900
azius,1
Azl,8
AZRIEL,101
Azry,227
Aztec,15
Aztiel,68
Azwraith,508
azy,5
B0YET,3
B1n,4
b1nib2,7
B1nKuma,20
b1t,86
b2nb1,64
b4dawn,530
Babby,145
BabY,26
BabyKo,3
babylon,14
babylove,175
BabySaja,68
BACARDi,5
BACARDI,7
backburner,643
Bad13ass,30
Bada,284
Bads,3
bads,4
Badtrip,4
baebitos,681
baelun,1642
baelX,2
Bagels~,619
baguette,36
Bagwis,9
Bailey,17
baise,17
bait,65
BaIuga,8
Bake~,2
bakedbong,1
baket,209
BAL,170
bal,215
ballantine,242
BALLY,5
Baluga,22
Bam,4
Bambiiino,21
Bams,863
Banban,411
baozhu,13
Barbiedoll,9
BarbieGirI,5436
BarbiePH,59
barcinal,9
Barding,313
bash,6
Bashia,5
Bassha,5
baste,904
Bastien,402
basura,39
batch06,16
Batchy,3249
Batosay,49
Bayad,15
Bb,217
bbc,19
BBunny,1998
BC,73
Bcm,182
bd,3
be,39
bean,46
Beansihy,13
Beatrize,190
BEAU~,26
Beba,4
BeBeFin,2
bebegurl,24
Bechinnay,10
Becky,36
BeebipX,41
Beebo,7
beefsteak,214
beehoon,14
beer,8
Behla,144
BelBel1112,89
Bellamy~,9
BELLE~,327
bellion,138
Bellissima,55
BELLY,224
Bente,31
Bento,12
Benzino,296
berber,19
BerryCrush,7
beshyyyyy,2
betlogans,97
BeTrayerEK,14
Betsin,203
Bette,799
beu,363
Bewbew,33
beya,81
Beyang,601
Beyb,49
BF,11016
Bhaby,362
Bharsyy,16
BHB,1
Bheja,17
Bhielat,4
BhoxczGhab23,3547
Bhyy,202
bian,3
Biana,374
BIanca,1123
Biancaa,52
biancuh,8
bibble,1
BibeNiPagong,5
bibim,11
BIBlMBAP,31
Bibokid,24
Biee,230
BigDdamn,56
BigNeko,19
Biie,501
Biik,2
Bijin,15
biktima,9
BIMBAP,116
bimby,5537
Bina,97
binangkal,7
bing,34
BiNi,123
BinkyBoots,4
binski,4
BioZy,65
birdy,46
birdyn,148
biscuit,401
bisha,12
Bishi,148
Bisinti,243
biskit,20
Biu,306
biubiu,4
Biyo,144
bjorn,6
bkq,4375
BLACK,27
Blackcat,29
BlackCobbie,1
blackdeath,253
BLACKLABEL,639
BlackLeg,35
BlackMaria,6
BlackPH,57
BlackPussy,36
Blacksmith,32
blah10,261
Blake24,548
Blanchee,18
Blancheir,330
Blancpain,317
Blane,126
BLANKET,21
Blankie,12
Blay,546
bleak,1
Blebs,191
Bleed,143
Blinkie,76
blithe,19
Blitzkyrie,15
blobby,8
Bloody,18
BLOOP,11
Bloopboob,5
Blu,5
Bluebell,6
BlueEyes,373
bluem,45
BluePH,201
Bluff,155
Blvy,2
BLWH,63
Blyr,6
BM,12
bmd,500
Bmf,65
bo,20
boa,156
bobby,689
bokchoy,11
Bolang,1
bolno,142
Bombinastic,1
bombo,55
BONE,1
Boni,90
Bonqiuqiu,13
Bonus,9272
bora,51
bored,2394
Bored2Death,13
Borgy,27
bors,670
BossEL,1
bossing,29
BossP,81
bot123,130
both,465
bowie,11
BOY3T,15
bozo,106
BPanda,612
bq,167
Br00M,5
brad,19
Brady,2
Brahma,10
braile,24
braise,17
Braks,586
BRANDY,697
Brannn,33
brb,1
BRIA,75
Brianne,4878
Bridgett,511
Bridgette,1489
Briel,8
Britney,32
Brittanyyy,1
Briyanna,40
Brodin,7
Bronx,22
Brookshield,10829
brown,2646
Browniesss,37
Brrty,5
brunopacman,3
Brx,108
BRYANN,100
BryBry,182
bryceee,45
brye,2
bryle,64
BRYLE~,17
Bryony,41
Bryt,11
BSMamra,16744
btc,25
Btch,3883
btcy,19
BU,484
BUBBLEGUM,162
Bubblegummmm,72
Bubblez,73
Bucc,2
buddy,317
BUDLIGHT,21
BUDWEISER,44
Bugnot,208
Bulgogi,118
bully,127
bulok,1
Buname,113
Bunchee,392
Bundy,5
Bunnd4,520
Bunnz,131
Burat,12
burnt,1
burrito,44
Buts,127
Buun,14
buyihan,19863
Bwst,219
BY,54
Byeol,44
Bym,6750
Byte,35
c6,179
ca,37
Caballer0,22
cabbage,63
Cabby,131
Cactus,2
Cadbury,495
Cadiz,36
Cady,112
cae,39
Caede,24
Caelum~,555
Caffeine,59
caifan,289
Cailee,9
caipng,150
caius,12
cajun,1995
cakebkk13,1344
cal,161
Caldereta,9
Calee,619
calico,9
Calista12,2
callan,75
Callanta,3
CallMeNaNa,15
calloway,9
Calmado,13
caloii,22
Caloy,27
Camansi,8
Camembert,45
CamzTzy,97
canary,9
Candore,433
Cane,448
CAng,133
Canny,262
Caoimhe,202
Caorie,1782
Caoru,1781
Capitana,2
Capucine,13
Capybara,313
car,16
Carajillo,114
Caramel,32
CaramelPH,16
carem,95
cares,10
CarieJoyce,4
CarleneG,11
Carluuu,450
Carpaccio,16
Carrah,60
Carstairs,1
carstensz,151
Cas14,165
Casey,27
cashless,22
CashmereLuv,30
CasSie,14
CASSY,881
Castriel,14
CasvaI,18
Casvai,1
Casval,62
CasvaL,13
Casy,23
Catcher,59
Cate,12
Catherineeee,74
cathycute12,1
cazi,221
Cc,23
Ccw,18
ccy,7
cd,561
cdg,80
ceae,248
CEBBY,96
CebuKidd,1
CEE,8
CeeJay,20
Ceez,6
CEI~,15
Ceii,25
Ceji,23
Celaeno,22
celestia,1451
celestino~,527
Celevera,1
celina,2
celine,11
Celinee,134
Celphin,23
Cely,4
CelynXD,29
Cephira,236
CephNiCass,552
Cere,16
Cerie,14
cerise,103
cerize,104
Cerridwen,2
Cerys,88
cesil,580
Cessy,5
cessyyy,78
cesz,37
CETIRIZINE,1
ch,217
Ch00sy,102
chabby,22
chaddy,11
chadwyck,92
chaebae,34
Chaed,487
ChaelPH,278
chaely,481
Chaewoon,687
chaeyim,87
chaii,1
ChaIIenger,60
Chaiy,261
Chakra,2194
Chalcedony,187
Chalice,162
Chalys,192
cham,950
Chami,102
chamny,535
Champee,97
Champong,61
champp11,6
Chamuel,35
Chance,73
chandria,38
chano,1
chantel,29
Chantria,4
CHANX,86
chao,5
chaomein,17
chaomin,87
chappy,349
Charelle,39
Charikleia,12
Charizard,19
Charlie~,44
charlieboy,20
Charm06,75
charmander69,12
charmmy,2526
Charms,35
Charotera,27
charry,350
CHAS,698
chasoba,38
chayee,56
Chayyy85,13
CHAZ,709
chebruce,80
Checo,2
Cheebee,549
cheekueh,15
CheerfulK,3
Cheerfulk,3
CHEERS,8
cheesus,378
Cheesy~,109
ChelPH,358
chelsey,257
chelsy,81
cheMAEst,159
Chendy,486
Chenely,1
cheolito,76
chere,248
Cherieeee,4
Chernobog,1
chesley,58
Chessi,12
ChessiKitty,16
chey,94
Cheza,8
Chezu,17
chiaki,232
chiasa,255
Chibi,66
Chibibipot,18
Chica,348
chichoo,567
chide,99
chie,54
CHIERI,884
chiibi,67
chiii,59
Chiiii,461
Chiioh,28
Chijeu,27
chika,8
chikki,7
Chikkita,249
chiko,9
CHILDISH,18
ChiliGarlic,255
Chimken,142
Chimmy2,84
ChiMmyx3,42
Chimmyx3,1
Chimpamploks,30
chini,66
chinkang,2
chino,463
Chinoue,339
chio,19
ChIoe,12
Chiori,444
Chipi,4
chippy,3
Chipsss,7
chirimi,23
Chirstian,11
CHITO,548
chituu,186
CHIVAS,3
Chiyoko,2
Chiyong,20
chizo,6
chizu,616
ChloeK,11
Chlorophyll,18
chm,3
chnce,5
cho,32
CHOCO,22
ChocoPH,106
ChoeyChoco,45
ChoiDalPo,17
Choii~,331
ChoiUng,176
chojo,215
chonan,169
chonk,3
Choropy,260
Chota,2
chotto,209
chouxchou,171
